Uniprot	Names
O43157	PLXNB1
O43169	CYB5B
O43175	PHGDH
O43182	ARHGAP6
O43278	SPINT1
O43280	TREH
O43294	TGFB1I1
O43312	MTSS1
O43324	EEF1E1
O43396	TXNL1
O43399	TPD52L2
O43405	COCH
O43451	MGAM
O43493	TGOLN2
O43504	LAMTOR5
O43508	TNFSF12
O75888	TNFSF13
O43516	WIPF1
O43529	CHST10
O43556	SGCE
O43561	LAT
O43570	CA12
O43583	DENR
O43598	DNPH1
O43633	CHMP2A
O43639	NCK2
O43665	RGS10
O43678	NDUFA2
O43681	ASNA1
O43684	BUB3
O43708	GSTZ1
O43747	AP1G1
O43765	SGTA
O43768	ENSA
O43772	SLC25A20
O43813	LANCL1
O43815	STRN
O43827	ANGPTL7
O43895	XPNPEP2
O43915	VEGFD
O60234	GMFG
P60983	GMFB
O60240	PLIN1
O60241	ADGRB2
O60243	HS6ST1
Q8IZP7	HS6ST3
O60256	PRPSAP2
O60268	KIAA0513
O60279	SUSD5
O60313	OPA1
O60449	LY75
Q8IX05	CD302
O60486	PLXNC1
O60488	ACSL4
O60493	SNX3
Q9UMY4	SNX12
O60494	CUBN
O60496	DOK2
O60504	SORBS3
O43390	HNRNPR
O60506	SYNCRIP
O60512	B4GALT3
O60547	GMDS
O60568	PLOD3
O60609	GFRA3
O60613	SEP15
O60664	PLIN3
O60667	FCMR
O60684	KPNA6
O60701	UGDH
O60704	TPST2
O60716	CTNND1
O60760	HPGDS
O60763	USO1
O60784	TOM1
O60832	DKC1
O60841	EIF5B
O60844	ZG16
O60869	EDF1
O60884	DNAJA2
O60888	CUTA
O60909	B4GALT2
O60925	PFDN1
O75063	FAM20B
O75071	EFCAB14
O75077	ADAM23
O75095	MEGF6
O75112	LDB3
O75131	CPNE3
O75144	ICOSLG
O75223	GGCT
O75298	RTN2
O75306	NDUFS2
O75323	GBAS
O75326	SEMA7A
O75339	CILP
O75340	PDCD6
O75347	TBCA
O75348	ATP6V1G1
O75351	VPS4B
O75354	ENTPD6
O75356	ENTPD5
O75368	SH3BGRL
O75380	NDUFS6
O75390	CS
Q9Y2B0	CNPY2
O75396	SEC22B
O75436	VPS26A
O75439	PMPCB
O75494	SRSF10
O75503	CLN5
O75509	TNFRSF21
O75531	BANF1
O75533	SF3B1
O75534	CSDE1
O75558	STX11
O75563	SKAP2
O75594	PGLYRP1
O75608	LYPLA1
O75629	CREG1
O75643	SNRNP200
O75663	TIPRL
O75695	RP2
O75752	B3GALNT1
O75791	GRAP2
O75822	EIF3J
O75832	PSMD10
O75844	ZMPSTE24
O75884	RBBP9
O75915	ARL6IP5
O75935	DCTN3
O75936	BBOX1
O75947	ATP5H
O75954	TSPAN9
O75955	FLOT1
O76003	GLRX3
O76061	STC2
O76074	PDE5A
O76096	CST7
O94769	ECM2
O94804	STK10
Q9H2G2	SLK
O94826	TOMM70
O94856	NFASC
O94874	UFL1
O94886	TMEM63A
O94898	LRIG2
O94903	PROSC
O94919	ENDOD1
O94923	GLCE
O94925	GLS
O94925-3	nPvarsplic
O94933	SLITRK3
Q9H156	SLITRK2
O94985	CLSTN1
Q9BQT9	CLSTN3
O95084	PRSS23
O95147	DUSP14
O95183	VAMP5
O95202	LETM1
O95295	SNAPIN
O95299	NDUFA10
O95302	FKBP9
O95336	PGLS
O95352	ATG7
O95373	IPO7
O95379	TNFAIP8
O95393	BMP10
Q9UK05	GDF2
O95394	PGM3
O95428	PAPLN
O95433	AHSA1
O95445	APOM
P27930	IL1R2
O94910	ADGRL1
O95490	ADGRL2
O95571	ETHE1
O95630	STAMBP
O95674	CDS2
O95711	LY86
O95721	SNAP29
O95727	CRTAM
O95747	OXSR1
O94973	AP2A2
O95782	AP2A1
O95810	SDPR
O95817	BAG3
O95831	AIFM1
O95834	EML2
O94760	DDAH1
O95865	DDAH2
O95866	G6B
O95870	ABHD16A
O95881	TXNDC12
O95954	FTCD
O95967	EFEMP2
O95971	CD160
O95980	RECK
O95989	NUDT3
P46783	RPS10
O95994	AGR2
Q8TD06	AGR3
O95998	IL18BP
O96000	NDUFB10
O96011	PEX11B
P00167	CYB5A
P00367	GLUD1
P00387	CYB5R3
Q9UHQ9	CYB5R1
P00390	GSR
Q16881	TXNRD1
Q9NNW7	TXNRD2
P00403	MT-CO2
P00441	SOD1
P00491	PNP
P00492	HPRT1
P00505	GOT2
P00533	EGFR
P00568	AK1
P00797	REN
P00813	ADA
P00915	CA1
P00918	CA2
P07451	CA3
P00995	SPINK1
P01033	TIMP1
P01034	CST3
P01040	CSTA
P01127	PDGFB
P01160	NPPA
P01210	PENK
P01225	FSHB
P01236	PRL
P01241	GH1
P01266	TG
P01344	IGF2
P01350	GAST
P01589	IL2RA
P01591	JCHAIN
P01732	CD8A
P01833	PIGR
P01854	IGHE
P01903	HLA-DRA
P20036	HLA-DPA1
P02144	MB
P02461	COL3A1
P02462	COL4A1
P02511	CRYAB
P02549	SPTA1
Q9NR28	DIABLO
P02585	TNNC2
P02654	APOC1
P02655	APOC2
P55056	APOC4
P82987	ADAMTSL3
Q8N6G6	ADAMTSL1
P02656	APOC3
P02675	FGB
P02679	FGG
P02730	SLC4A1
P02741	CRP
P02745	C1QA
O95185	UNC5C
P02748	C9
Q86UX7	FERMT3
Q96AC1	FERMT2
P02749	APOH
P02751	FN1
P02753	RBP4
P02760	AMBP
P02771	AFP
P02786	TFRC
A0A0K0K1H8	UPTr
P02787	TF
P02788	LTF
P08582	MELTF
Q06AH7	UPTr
Q13103	SPP2
Q58EX2	SDK2
Q7Z5N4	SDK1
P02794	FTH1
P02814	SMR3B
P02818	BGLAP
P03950	ANG
P03956	MMP1
P03971	AMH
P03973	SLPI
P04040	CAT
P04054	PLA2G1B
P04066	FUCA1
P04080	CSTB
P04083	ANXA1
P04085	PDGFA
A0A068LKQ8	UPTr
A0A068LKR4	UPTr
A0A068LN03	UPTr
A0A068LN07	UPTr
A0A075B6H9	IGLV4-69
A0A075B6I0	IGLV8-61
A0A075B6I1	IGLV4-60
A0A075B6I9	IGLV7-46
A0A075B6J1	IGLV5-37
A0A075B6K2	IGLV3-12
A0A075B6K4	IGLV3-10
A0A075B6K6	IGLV4-3
A0A075B6Q5	IGHV3-64
A0A075B6S2	IGKV2D-29
A0A075B6S5	IGKV1-27
A0A087WSX0	IGLV5-45
A0A087WSZ0	IGKV1D-8
A0A087WT59	UPCP
A0A087WWA5	UPCP
A0A087WWT3	UPCP
A0A0A0MRZ9	IGLV5-52
A0A0A0MS15	IGHV3-49
A0A0B4J1U3	IGLV1-36
A0A0B4J1U7	IGHV6-1
A0A0B4J1V0	IGHV3-15
A0A0B4J1V1	IGHV3-21
A0A0B4J1V2	IGHV2-26
A0A0B4J1V6	IGHV3-73
A0A0B4J1X5	IGHV3-74
A0A0B4J1X8	IGHV3-43
A0A0B4J1Y8	IGLV9-49
A0A0B4J1Y9	IGHV3-72
A0A0B4J1Z2	IGKV1D-43
A0A0B4J2D9	IGKV1D-13
A0A0C4DH29	IGHV1-3
A0A0C4DH31	IGHV1-18
A0A0C4DH33	IGHV1-24
A0A0C4DH34	IGHV4-28
A0A0C4DH38	IGHV5-51
A0A0C4DH67	IGKV1-8
A0A0C4DH68	IGKV2-24
A0A0C4DH69	IGKV1-9
A0A0M3KKW6	UPTr
A0A0X9TD47	UPTr
A0A0X9USL5	UPTr
A0A0X9V9B3	UPTr
A0A0X9V9D6	UPTr
A0A109PS54	UPTr
A0A109PW33	UPTr
A0A125QYY4	UPTr
A0A125QYY5	UPTr
A0A125QYY8	UPTr
A0A125QYY9	UPTr
A0A125U0U7	UPTr
A0A125U0V1	UPTr
A0A125U0V4	UPTr
A0A193CHR0	UPTr
A0N5G5	UPTr
A0N5T0	UPTr
A0N7I9	UPTr
A2IPI0	UPTr
A2IPI1	UPTr
A2IPI2	UPTr
A2IPI4	UPTr
A2IPI5	UPTr
A2IPI6	UPTr
A2J422	UPTr
A2JA16	UPTr
A2KBC1	UPTr
A2NUT2	UPTr
A2NV54	UPTr
A2NXP8	UPTr
A2NXP9	UPTr
A2NYV1	UPTr
A2NZ55	UPTr
A4F255	UPTr
A6NI73	LILRA5
A6NMZ7	COL6A6
A8K2U0	A2ML1
A8K9P0	UPTr
B1N7B6	UPTr
B4DPR2	UPTr
B4DR57	UPTr
B4E3S6	UPTr
B6EDE2	UPTr
B7Z556	UPTr
B9A064	IGLL5
CONTRIB_OTTHUMG00000041662	putatively
D6RE86	UPCP
E7ETN3	UPCP
F6KPG5	UPTr
G3GAU4	UPTr
H0Y300	UPCP
IMGT_AB019440|IGHV3-16*02	Homo
IMGT_AC134879|IGKV1/ORY-1*01	Homo
IMGT_M99653|IGHV3-13*02	Homo
IMGT_X72814|IGKV2-4*01	Homo
IMGT_X74288|IGLV3-9*02	Homo
IMGT_X97473|IGLV3-9*01	Homo
IPI00921238	IPI:IPI00921238.1|H-INV:HIT000392895
NP_001304093.1	ref|NP_001304093.1|
O00187	MASP2
O00194	RAB27B
O00391	QSOX1
O00533	CHL1
O00585	CCL21
O00602	FCN1
O14786	NRP1
O14791	APOL1
O14917	PCDH17
O14964	HGS
O14974	PPP1R12A
O15020	SPTBN2
O15143	ARPC1B
O15230	LAMA5
O15354	GPR37
O15467	CCL16
O43240	KLK10
O43242	PSMD3
O43488	AKR7A2
O43491	EPB41L2
O43505	B4GAT1
O43707	ACTN4
O43790	KRT86
O43852	CALU
O43866	CD5L
O60218	AKR1B10
O60229	KALRN
O60242	ADGRB3
O60259	KLK8
O60437	PPL
O60462	NRP2
O60610	DIAPH1
O60749	SNX2
O75023	LILRB5
O75051	PLXNA2
O75083	WDR1
O75116	ROCK2
O75367	H2AFY
O75369	FLNB
O75581	LRP6
O75636	FCN3
O75636-2	nPvarsplic
O75821	EIF3G
O75874	IDH1
O75882	ATRN
O75891	ALDH1L1
O76009	KRT33A
O76011	KRT34
O76013	KRT36
O76015	KRT38
O76054	SEC14L2
O94779	CNTN5
O94875	SORBS2
O94979	SEC31A
O95154	AKR7A3
O95274	LYPD3
O95479	H6PD
O95497	VNN1
O95498	VNN2
O95502	NPTXR
O95631	NTN1
O95633	FSTL3
O95678	KRT75
O95861	BPNT1
O96009	NAPSA
P00338	LDHA
P00352	ALDH1A1
P00450	CP
P00451	F8
P00480	OTC
P00488	F13A1
P00558	PGK1
P00734	F2
P00736	C1R
P00738	HP
P00739	HPR
P00740	F9
P00742	F10
P00746	CFD
P00747	PLG
P00748	F12
P00749	PLAU
P00750	PLAT
P00751	CFB
P00966	ASS1
P01008	SERPINC1
P01009	SERPINA1
P01011	SERPINA3
P01019	AGT
P01023	A2M
P01024	C3
P01031	C5
P01042	KNG1
P01111	NRAS
P01116	KRAS
P01130	LDLR
P01133	EGF
P01137	TGFB1
P01593	IGKV1D-33
P01597	IGKV1-39
P01602	IGKV1-5
P01614	IGKV2D-40
P01615	IGKV2D-28
P01701	IGLV1-51
P01703	IGLV1-40
P01704	IGLV2-14
P01714	IGLV3-19
P01715	IGLV3-1
P01721	IGLV6-57
P01742	IGHV1-69
P01762	IGHV3-11
P01763	IGHV3-48
P01766	IGHV3-13
P01767	IGHV3-53
P01772	IGHV3-33
P01780	IGHV3-7
P01782	IGHV3-9
P01814	IGHV2-70
P01817	IGHV2-5
P01824	IGHV4-39
P01834	IGKC
P01857	IGHG1
P01859	IGHG2
P01860	IGHG3
P01861	IGHG4
P01871	IGHM
P01876	IGHA1
P01877	IGHA2
P01880	IGHD
P01920	HLA-DQB1
P02008	HBZ
P02042	HBD
P02452	COL1A1
P02533	KRT14
P02538	KRT6A
P02545	LMNA
P02647	APOA1
P02649	APOE
P02652	APOA2
P02671	FGA
P02746	C1QB
P02747	C1QC
P02750	LRG1
P02763	ORM1
P02765	AHSG
P02766	TTR
P02768	ALB
P02768-3	nPvarsplic
P02774	GC
P02775	PPBP
P02790	HPX
P03951	F11
P03952	KLKB1
P04003	C4BPA
P04004	VTN
P04062	GBA
P04070	PROC
P04075	ALDOA
P04114	APOB
P04180	LCAT
P04196	HRG
P04211	IGLV7-43
P04220	SPnotNP
P04264	KRT1
P04275	VWF
P04278	SHBG
P04440	HLA-DPB1
P04626	ERBB2
P04844	RPN2
P04899	GNAI2
P05062	ALDOB
P05089	ARG1
P05091	ALDH2
P05120	SERPINB2
P05154	SERPINA5
P05155	SERPING1
P05156	CFI
P05165	PCCA
P05186	ALPL
P05362	ICAM1
P05452	CLEC3B
P05543	SERPINA7
P05546	SERPIND1
P05783	KRT18
P05787	KRT8
P05981	HPN
P05997	COL5A2
P06241	FYN
P06276	BCHE
P06310	IGKV2-30
P06312	IGKV4-1
P06315	IGKV5-2
P06331	IGHV4-34
P06396	GSN
P06681	C2
P06703	S100A6
P06727	APOA4
P06731	CEACAM5
P06732	CKM
P06737	PYGL
P06753	TPM3
P06865	HEXA
P06870	KLK1
P07093	SERPINE2
P07195	LDHB
P07225	PROS1
P07237	P4HB
P07333	CSF1R
P07357	C8A
P07359	GP1BA
P07477	PRSS1
P07478	PRSS2
P07686	HEXB
P07900	HSP90AA1
P07947	YES1
P07948	LYN
P07949	RET
P07951	TPM2
P07996	THBS1
P08123	COL1A2
P08185	SERPINA6
P08238	HSP90AB1
P08253	MMP2
P08254	MMP3
P08294	SOD3
P08519	LPA
P08572	COL4A2
P08581	MET
P08603	CFH
P08637	FCGR3A
P08670	VIM
P08697	SERPINF2
P08709	F7
P08727	KRT19
P08729	KRT7
P08754	GNAI3
P08779	KRT16
P08887	IL6R
P09327	VIL1
P09493	TPM1
P09493-5	nPvarsplic
P09543	CNP
P09603	CSF1
P09619	PDGFRB
P09871	C1S
P09972	ALDOC
P0C0L4	C4A
P0C0L5	
C4B	NX_P0C0L5-1
Complement	isoform
Iso	PE=1
CONCAT=1974	
P0CF74	IGLC6
P0CG06	IGLC3
P0CG39	POTEJ
P0DN79	CBSL
P10586	PTPRF
P10619	CTSA
P10643	C7
P10721	KIT
P11047	LAMC1
P11055	MYH3
P11150	LIPC
P11166	SLC2A1
P11169	SLC2A3
P11171	EPB41
P11177	PDHB
P11216	PYGB
P11217	PYGM
P11277	SPTB
P11279	LAMP1
P11362	FGFR1
P11413	G6PD
P11717	IGF2R
P12035	KRT3
P12107	COL11A1
P12110	COL6A2
P12110-2	nPvarsplic
P12259	F5
P12273	PIP
P12277	CKB
P12532	
CKMT1A	NX_P12532-1
Creatine	U-type,
mitochondrial	Iso
1	CONCAT=818
P12814	ACTN1
P12830	CDH1
P12882	MYH1
P12883	MYH7
P12931	SRC
P12955	PEPD
P13489	RNH1
P13533	MYH6
P13591	NCAM1
P13645	KRT10
P13646	KRT13
P13647	KRT5
P13667	PDIA4
P13671	C6
P13688	CEACAM1
P13747	HLA-E
P13762	HLA-DRB4
P13796	LCP1
P13797	PLS3
P14136	GFAP
P14222	PRF1
P14314	PRKCSH
P14550	AKR1A1
P14625	HSP90B1
P14780	MMP9
P14866	HNRNPL
P14923	JUP
P14927	UQCRB
P15085	CPA1
P15086	CPB1
P15121	AKR1B1
P15144	ANPEP
P15153	RAC2
P15259	PGAM2
P15289	ARSA
P15311	EZR
P15529	CD46
P15813	CD1D
P15814	IGLL1
P15880	RPS2
P16144	ITGB4
P16234	PDGFRA
P16278	GLB1
P16452	EPB42
P16671	CD36
P16930	FAH
P17174	GOT1
P17405	SMPD1
P17516	AKR1C4
P17540	CKMT2
P17661	DES
P17813	ENG
P17927	CR1
P17948	FLT1
P17987	TCP1
P18206	VCL
P18433	PTPRA
P18669	PGAM1
P19012	KRT15
P19013	KRT4
P19022	CDH2
P19086	GNAZ
P19320	VCAM1
P19652	ORM2
P19823	ITIH2
P19827	ITIH1
P19835	CEL
P20138	CD33
P20231	TPSB2
P20340	RAB6A
P20700	LMNB1
P20742	PZP
P20908	COL5A1
P20930	FLG
P21333	FLNA
P21709	EPHA1
P21802	FGFR2
P21980	TGM2
P22105	TNXB
P22303	ACHE
P22455	FGFR4
P22607	FGFR3
P22607-2	nPvarsplic
P22792	CPN2
P23083	IGHV1-2
P23142	FBLN1
P23142-4	nPvarsplic
P23229	ITGA6
P23435	CBLN1
P23468	PTPRD
P24043	LAMA2
P25705	ATP5A1
P25789	PSMA4
P25940	COL5A3
P26038	MSN
P26927	MST1
P27169	PON1
P27348	YWHAQ
P27708	CAD
P28482	MAPK1
P28827	PTPRM
P29122	PCSK6
P29323	EPHB2
P29508	SERPINB3
P29622	SERPINA4
P30039	PBLD
P30048	PRDX3
P30101	PDIA3
P30203	CD6
P30511	HLA-F
P30622	CLIP1
P30740	SERPINB1
P30837	ALDH1B1
P31327	CPS1
P31939	ATIC
P31946	YWHAB
P31947	SFN
P31948	STIP1
P31997	CEACAM8
P32004	L1CAM
P32119	PRDX2
P32942	ICAM3
P34059	GALNS
P34096	RNASE4
P34896	SHMT1
P34897	SHMT2
P34932	HSPA4
P35030	PRSS3
P35222	CTNNB1
P35237	SERPINB6
P35241	RDX
P35442	THBS2
P35443	THBS4
P35527	KRT9
P35555	FBN1
P35556	FBN2
P35558	PCK1
P35579	MYH9
P35580	MYH10
P35609	ACTN2
P35637	FUS
P35658	NUP214
P35749	MYH11
P35858	IGFALS
P35900	KRT20
P35908	KRT2
P35916	FLT4
P35968	KDR
P36405	ARL3
P36888	FLT3
P36952	SERPINB5
P36955	SERPINF1
P36980	CFHR2
P38117	ETFB
P39060	COL18A1
P39656	DDOST
P40121	CAPG
P40199	CEACAM6
P40925	MDH1
P40926	MDH2
P42330	AKR1C3
P42704	LRPPRC
P42768	WAS
P43146	DCC
P43251	BTD
P43304	GPD2
P43652	AFM
P46379	BAG6
P46940	IQGAP1
P48052	CPA2
P48357	LEPR
P48426	PIP4K2A
P48506	GCLC
P48594	SERPINB4
P48595	SERPINB10
P48637	GSS
P48643	CCT5
P48735	IDH2
P48740	MASP1
P49189	ALDH9A1
P49327	FASN
P49368	CCT3
P49419	ALDH7A1
P49641	MAN2A2
P49746	THBS3
P49747	COMP
P49748	ACADVL
P49862	KLK7
P49908	SEPP1
P50053	KHK
P50148	GNAQ
P50453	SERPINB9
P50990	CCT8
P50991	CCT4
P51149	RAB7A
P51153	RAB13
P51571	SSR4
P51575	P2RX1
P51805	PLXNA3
P51884	LUM
P52209	PGD
P52306	RAP1GDS1
P52888	THOP1
P53602	MVD
P53618	COPB1
P53708	ITGA8
P54725	RAD23A
P54727	RAD23B
P54753	EPHB3
P54760	EPHB4
P54764	EPHA4
P54802	NAGLU
P55072	VCP
P55103	INHBC
P55160	NCKAP1L
P55290	CDH13
P55291	CDH15
P55786	NPEPPS
P58107	EPPK1
P58335	ANTXR2
P60953	CDC42
P61006	RAB8A
P61019	RAB2A
P61026	RAB10
P61106	RAB14
P61225	RAP2B
P61626	LYZ
P61764	STXBP1
P61916	NPC2
P61952	GNG11
P61981	YWHAG
P62258	YWHAE
P62805	
HIST1H4A	HIST1H4C
HIST1H4D	HIST1H4F
HIST1H4H	HIST1H4J
HIST1H4K	HIST2H4A
HIST2H4B	NX_P62805-1
Histone	isoform
CONCAT=15029	
P62820	RAB1A
P62834	RAP1A
P63000	RAC1
P63096	GNAI1
P63104	YWHAZ
P63167	DYNLL1
P67870	CSNK2B
P67936	TPM4
P67936-2	nPvarsplic
P68032	ACTC1
P68036	UBE2L3
P68133	ACTA1
P68366	TUBA4A
P68871	HBB
P69905	
HBA1	NX_P69905-1
Hemoglobin	alpha
isoform	1
PE=1	
P78385	KRT83
P78386	KRT85
P78539	SRPX
P80748	IGLV3-21
P82979	SARNP
P84095	RHOG
P98155	VLDLR
P98160	HSPG2
P98161	PKD1
Q01082	SPTBN1
Q01344	IL5RA
Q01459	CTBS
Q01546	KRT76
Q01638	IL1RL1
Q01973	ROR1
Q02218	OGDH
Q02487	DSC2
Q02818	NUCB1
Q02985	CFHR3
Q03252	LMNB2
Q03518	TAP1
Q03519	TAP2
Q03591	CFHR1
Q04695	KRT17
Q04756	HGFAC
Q04917	YWHAH
Q05639	EEF1A2
Q05707	COL14A1
Q06033	ITIH3
Q06187	BTK
Q06830	PRDX1
Q07092	COL16A1
Q07954	LRP1
Q07960	ARHGAP1
Q08043	ACTN3
Q08345	DDR1
Q08554	DSC1
Q08ET2	SIGLEC14
Q09666	AHNAK
Q0ZCI2	UPTr
Q0ZCJ1	UPTr
Q10588	BST1
Q12860	CNTN1
Q12884	FAP
Q12913	PTPRJ
Q12931	TRAP1
Q13011	ECH1
Q13018	PLA2R1
Q13151	HNRNPA0
Q13162	PRDX4
Q13332	PTPRS
Q13421	MSLN
Q13449	LSAMP
Q13464	ROCK1
Q13554	CAMK2B
Q13555	CAMK2G
Q13557	CAMK2D
Q13576	IQGAP2
Q13724	MOGS
Q13835	PKP1
Q13867	BLMH
Q14114	LRP8
Q14117	DPYS
Q14141	SEPT6
Q14162	SCARF1
Q14166	TTLL12
Q14195	DPYSL3
Q14195-2	nPvarsplic
Q14246	ADGRE1
Q14315	FLNC
Q14344	GNA13
Q14517	FAT1
Q14520	HABP2
Q14525	KRT33B
Q14532	KRT32
Q14533	KRT81
Q14554	PDIA5
Q14574	DSC3
Q14624	ITIH4
Q14643	ITPR1
Q14651	PLS1
Q14696	MESDC2
Q14749	GNMT
Q14766	LTBP1
Q14767	LTBP2
Q14980	NUMA1
Q14C87	TMEM132D
Q14CN2	CLCA4
Q15019	SEPT2
Q15084	PDIA6
Q15109	AGER
Q15149	PLEC
Q15165	PON2
Q15166	PON3
Q15286	RAB35
Q15303	ERBB4
Q15323	KRT31
Q15375	EPHA7
Q15485	FCN2
Q15746	MYLK
Q15833	STXBP2
Q15848	ADIPOQ
Q16181	SEPT7
Q16363	LAMA4
Q16394	EXT1
Q16539	MAPK14
Q16555	DPYSL2
Q16610	ECM1
Q16610-2	nPvarsplic
Q16706	MAN2A1
Q16787	LAMA3
Q16822	PCK2
Q17RW2	COL24A1
Q32MZ4	LRRFIP1
Q3LXA3	TKFC
Q3SY84	KRT71
Q53G99	UPTr
Q562R1	ACTBL2
Q562V5	UPTr
Q567P1	UPTr
Q569I7	UPTr
Q56G89	UPTr
Q5D862	FLG2
Q5EBM2	UPTr
Q5EFE5	UPTr
Q5FWF9	UPTr
Q5IJ48	CRB2
Q5SZK8	FREM2
Q5VTT5	MYOM3
Q5VV63	ATRNL1
Q5XKE5	KRT79
Q68CN4	UPTr
Q6A163	KRT39
Q6E0U4	DMKN
Q6EMK4	VASN
Q6GMV7	UPTr
Q6GMW3	UPTr
Q6GMX3	UPTr
Q6IBS0	TWF2
Q6IEE7	TMEM132E
Q6IN99	UPTr
Q6KB66	KRT80
Q6MZM0	HEPHL1
Q6MZQ6	UPTr
Q6MZU6	UPTr
Q6MZV6	UPTr
Q6MZV7	UPTr
Q6MZX7	UPTr
Q6MZX9	UPTr
Q6N030	UPTr
Q6N041	UPTr
Q6N089	UPTr
Q6N091	UPTr
Q6N092	UPTr
Q6N093	UPTr
Q6N094	UPTr
Q6N095	UPTr
Q6N096	UPTr
Q6N097	UPTr
Q6NS95	UPTr
Q6P089	UPTr
Q6P179	ERAP2
Q6P3X3	TTC27
Q6P5S3	UPTr
Q6PI73	LILRA6
Q6PJF2	UPTr
Q6PJG0	UPTr
Q6PJW8	CNST
Q6UX71	PLXDC2
Q6V0I7	FAT4
Q6XQN6	NAPRT
Q6YHK3	CD109
Q6ZMJ2	SCARA5
Q6ZP87	UPTr
Q6ZVL6	KIAA1549L
Q6ZVX0	UPTr
Q6ZW64	UPTr
Q7L576	CYFIP1
Q7Z351	UPTr
Q7Z379	UPTr
Q7Z406	MYH14
Q7Z5L0	VMO1
Q7Z5L7	PODN
Q7Z6Z7	HUWE1
Q7Z794	KRT77
Q86SQ4	ADGRG6
Q86U17	SERPINA11
Q86UN3	RTN4RL2
Q86UX2	ITIH5
Q86VB7	CD163
Q86X29	LSR
Q86YZ3	HRNR
Q8IUK5	PLXDC1
Q8IUK8	CBLN2
Q8IUZ5	PHYKPL
Q8IWA5	SLC44A2
Q8IWV2	CNTN4
Q8IWY4	SCUBE1
Q8IX30	SCUBE3
Q8IZJ3	CPAMD8
Q8N126	CADM3
Q8N149	LILRA2
Q8N1G4	LRRC47
Q8N1N4	KRT78
Q8N2S1	LTBP4
Q8N355	UPTr
Q8N3T6	TMEM132C
Q8N423	LILRB2
Q8N6C8	LILRA3
Q8NBK3	SUMF1
Q8NBP7	PCSK9
Q8NBS9	TXNDC5
Q8NC51	SERBP1
Q8NCC3	PLA2G15
Q8NCL6	UPTr
Q8NDA2	HMCN2
Q8NEJ1	UPTr
Q8NF20	UPTr
Q8NHL6	LILRB1
Q8TCD0	UPTr
Q8TDQ0	HAVCR2
Q8TE63	UPTr
Q8TEU8	WFIKKN2
Q8WVQ1	CANT1
Q8WWV6	FCAMR
Q8WWY7	WFDC12
Q8WXD2	SCG3
Q8WY24	UPTr
Q8WZ42	TTN
Q8WZ42-12	nPvarsplic
Q8WZA1	POMGNT1
Q92496	CFHR4
Q92598	HSPH1
Q92614	MYO18A
Q92616	GCN1
Q92692	NECTIN2
Q92743	HTRA1
Q92747	ARPC1A
Q92752	TNR
Q92764	KRT35
Q92823	NRCAM
Q92832	NELL1
Q92859	NEO1
Q92876	KLK6
Q92930	RAB8B
Q92935	EXTL1
Q92954	PRG4
Q93033	CD101
Q93050	ATP6V0A1
Q93052	LPP
Q93063	EXT2
Q969E1	LEAP2
Q96AG4	LRRC59
Q96AX2	RAB37
Q96CG8	CTHRC1
