Uniprot	Description	Names
P21283	VATC1_HUMAN	ATP6V1C1
P36543	VATE1_HUMAN	ATP6V1E1
O75348	VATG1_HUMAN	ATP6V1G1
Q9UI12	VATH_HUMAN	ATP6V1H
P27449	VATL_HUMAN	ATP6V0C
P15498	VAV_HUMAN	VAV1
Q9UKW4	VAV3_HUMAN	VAV3
P21796	VDAC1_HUMAN	VDAC1
P45880	VDAC2_HUMAN	VDAC2
Q9Y277	VDAC3_HUMAN	VDAC3
P09327	VILI_HUMAN	VIL1
P08670	VIME_HUMAN	VIM
P18206	VINC_HUMAN	Vcl
Q9BQB6	VKOR1_HUMAN	VKORC1
Q8N0U8	VKORL_HUMAN	VKORC1L1
Q3ZAQ7	VMA21_HUMAN	VMA21
O00534	VMA5A_HUMAN	VWA5A
Q96RL7	VP13A_HUMAN	VPS13A
Q5THJ4	VP13D_HUMAN	VPS13D
Q4G0F5	VP26B_HUMAN	VPS26B
Q9H9H4	VP37B_HUMAN	VPS37B
Q93050	VPP1_HUMAN	ATP6V0A1
Q9H270	VPS11_HUMAN	VPS11
Q9P253	VPS18_HUMAN	VPS18
Q9BRG1	VPS25_HUMAN	VPS25
Q9UK41	VPS28_HUMAN	VPS28
Q9UBQ0	VPS29_HUMAN	VPS29
Q96QK1	VPS35_HUMAN	VPS35
Q9UN37	VPS4A_HUMAN	VPS4A
O75351	VPS4B_HUMAN	VPS4B
Q9UID3	VPS51_HUMAN	VPS51
Q5VIR6	VPS53_HUMAN	VPS53
Q5VU13	VSIG8_HUMAN	VSIG8
Q9NP79	VTA1_HUMAN	VTA1
P02774	VTDB_HUMAN	GC
Q9UEU0	VTI1B_HUMAN	VTI1B
P04004	VTNC_HUMAN	VTN
P04275	VWF_HUMAN	VWF
Q9Y6W5	WASF2_HUMAN	WASF2
Q9UPY6	WASF3_HUMAN	WASF3
P42768	WASP_HUMAN	WAS
Q969T9	WBP2_HUMAN	WBP2
Q8IWB7	WDFY1_HUMAN	WDFY1
O75083	WDR1_HUMAN	WDR1
Q5JSH3	WDR44_HUMAN	WDR44
O43516	WIPF1_HUMAN	WIPF1
Q5GH72	XKR7_HUMAN	XKR7
Q5T750	XP32_HUMAN	XP32
O14980	XPO1_HUMAN	XPO1
P55060	XPO2_HUMAN	CSE1L
Q9UIA9	XPO7_HUMAN	XPO7
O75695	XRP2_HUMAN	RP2
P07947	YES_HUMAN	YES1
P49750	YLPM1_HUMAN	YLPM1
E7ETH6	Z587B_HUMAN	ZNF587B
P25311	ZA2G_HUMAN	AZGP1
Q9UFB7	ZBT47_HUMAN	ZBTB47
O60293	ZC3H1_HUMAN	ZFC3H1
Q7Z2W4	ZCCHV_HUMAN	ZC3HAV1
P15822	ZEP1_HUMAN	HIVEP1
Q86YA3	ZGRF1_HUMAN	ZGRF1
P52741	ZN134_HUMAN	ZNF134
O15231	ZN185_HUMAN	ZNF185
Q9UL58	ZN215_HUMAN	ZNF215
Q96PM5	ZN363_HUMAN	RCHY1
Q5T7W0	ZN618_HUMAN	ZNF618
Q9UDY2	ZO2_HUMAN	TJP2
Q9UK55	ZPI_HUMAN	SERPINA10
O43264	ZW10_HUMAN	ZW10
Q15942	ZYX_HUMAN	ZYX
